3.410	47.517	2.838
3.420	47.910	2.792
3.430	47.909	2.741
3.440	47.910	2.685
3.450	48.302	2.624
3.460	48.302	2.560
3.470	48.302	2.492
3.480	48.695	2.421
3.490	48.695	2.347
3.500	48.695	2.271
3.510	48.695	2.193
3.520	49.087	2.114
3.530	48.695	2.034
3.540	49.088	1.954
3.550	49.088	1.875
3.560	48.695	1.796
3.570	49.088	1.718
3.580	49.088	1.642
3.590	49.088	1.569
3.600	49.087	1.498
3.610	48.695	1.431
3.620	49.087	1.367
3.630	48.695	1.307
3.640	49.088	1.252
3.650	48.695	1.201
3.660	48.695	1.155
3.670	48.695	1.115
3.680	48.695	1.081
3.690	48.302	1.052
3.700	48.302	1.030
3.710	48.695	1.014
3.720	47.909	1.004
3.730	48.302	1.000
3.740	47.909	1.003
3.750	47.910	1.012
3.760	48.302	1.027
3.770	47.517	1.049
3.780	47.910	1.077
3.790	47.517	1.111
3.800	47.517	1.150
3.810	47.517	1.195
3.820	47.517	1.245
3.830	47.517	1.300
3.840	47.124	1.359
3.850	47.124	1.422
3.860	47.517	1.489
3.870	47.124	1.560
3.880	47.124	1.633
3.890	47.517	1.708
3.900	47.124	1.786
3.910	47.124	1.864
3.920	47.517	1.944
3.930	47.124	2.024
3.940	47.517	2.104
3.950	47.124	2.183
3.960	47.517	2.261
3.970	47.517	2.337
3.980	47.517	2.411
3.990	47.517	2.483
4.000	47.909	2.551
4.010	47.909	2.616
4.020	47.910	2.677
4.030	47.910	2.734
4.040	48.302	2.786
4.050	48.302	2.833
4.060	48.695	2.874
4.070	48.695	2.910
4.080	48.695	2.940
4.090	48.695	2.965
4.100	49.088	2.983
4.110	49.088	2.994
4.120	49.480	3.000
4.130	49.480	2.999
4.140	49.873	2.991
4.150	49.480	2.977
4.160	50.266	2.957
4.170	49.873	2.931
4.180	50.266	2.899
4.190	50.266	2.861
4.200	50.658	2.818
4.210	50.658	2.769
4.220	50.658	2.716
4.230	50.658	2.658
4.240	51.051	2.595
4.250	51.051	2.529
4.260	51.051	2.460
4.270	51.443	2.387
4.280	51.443	2.312
4.290	51.051	2.235
4.300	51.443	2.157
4.310	51.444	2.077
4.320	51.443	1.997
4.330	51.443	1.918
4.340	51.443	1.838
4.350	51.443	1.760
4.360	51.443	1.683
4.370	51.443	1.608
4.380	51.051	1.536
4.390	51.836	1.467
4.400	51.051	1.401
4.410	51.051	1.339
4.420	51.444	1.281
4.430	51.051	1.228
4.440	51.051	1.179
4.450	51.051	1.136
4.460	51.051	1.099
4.470	50.658	1.067
4.480	50.266	1.041
4.490	50.658	1.022
4.500	50.658	1.008
4.510	50.266	1.001
4.520	50.266	1.001
4.530	50.266	1.006
4.540	49.873	1.018
4.550	50.266	1.037
4.560	49.873	1.061
4.570	49.873	1.092
4.580	49.480	1.128
4.590	49.873	1.170
4.600	49.480	1.217
4.610	49.480	1.270
4.620	49.088	1.326
4.630	49.480	1.388
4.640	49.088	1.453
4.650	49.480	1.521
4.660	49.480	1.593
4.670	48.695	1.667
4.680	49.480	1.744
4.690	49.088	1.822
4.700	49.087	1.901
4.710	49.088	1.981
4.720	49.480	2.061
4.730	49.088	2.141
4.740	49.087	2.219
4.750	49.480	2.296
4.760	49.088	2.372
4.770	49.480	2.445
4.780	49.480	2.515
4.790	49.873	2.582
4.800	49.480	2.645
4.810	49.873	2.704
4.820	49.873	2.759
4.830	50.266	2.808
4.840	49.873	2.853
4.850	50.266	2.892
4.860	50.658	2.925
4.870	50.266	2.952
4.880	50.658	2.974
4.890	51.051	2.989
4.900	51.051	2.998
4.910	51.051	3.000
4.920	51.051	2.996
4.930	51.444	2.986
4.940	51.443	2.969
4.950	51.836	2.946
4.960	51.836	2.917
4.970	51.836	2.882
4.980	51.836	2.842
4.990	52.229	2.796
5.000	52.229	2.745
5.010	52.229	2.689
5.020	52.621	2.629
5.030	52.229	2.565
5.040	53.014	2.497
5.050	52.229	2.426
5.060	53.014	2.353
5.070	52.622	2.277
5.080	53.014	2.199
5.090	52.621	2.120
5.100	53.014	2.041
5.110	53.014	1.961
5.120	52.621	1.881
5.130	53.014	1.802
5.140	53.014	1.724
5.150	52.621	1.648
5.160	53.014	1.575
5.170	53.014	1.504
5.180	52.622	1.436
5.190	52.621	1.372
5.200	52.621	1.311
5.210	52.622	1.256
5.220	52.229	1.205
5.230	52.229	1.159
5.240	52.229	1.118
5.250	52.229	1.083
5.260	51.836	1.054
5.270	52.229	1.031
5.280	51.836	1.015
5.290	51.444	1.004
5.300	51.836	1.000
5.310	51.444	1.002
5.320	51.443	1.011
5.330	51.051	1.026
5.340	51.443	1.047
5.350	50.658	1.075
5.360	51.051	1.108
5.370	51.051	1.147
5.380	50.658	1.191
5.390	50.658	1.241
5.400	50.658	1.295
5.410	50.658	1.354
5.420	50.266	1.417
5.430	50.266	1.484
5.440	50.658	1.554
5.450	50.266	1.627
5.460	50.266	1.703
5.470	50.266	1.780
5.480	50.266	1.858
5.490	50.266	1.938
5.500	50.265	2.018
5.510	50.266	2.098
5.520	50.266	2.177
5.530	50.266	2.255
5.540	50.266	2.332
5.550	50.658	2.406
5.560	50.266	2.478
5.570	50.658	2.546
5.580	50.658	2.612
5.590	50.658	2.673
5.600	50.658	2.730
5.610	51.051	2.782
5.620	51.051	2.829
5.630	51.051	2.871
5.640	51.443	2.908
5.650	51.443	2.938
5.660	51.443	2.963
5.670	51.444	2.981
5.680	51.836	2.994
5.690	51.836	2.999
5.700	52.229	2.999
